7.504424570801340177e-01 8.312282032570250667e-01 9.195012983295540732e-01 1.015632945156439870e+00 1.119955511823097716e+00 1.232746609537142657e+00 1.354231894173681505e+00 1.484620304918708777e+00 1.624091806743457322e+00 1.772762257581415035e+00 1.930647922780759806e+00 2.097616371888892051e+00 2.273517204338300512e+00 2.457313518340670910e+00 2.648728554927389567e+00 2.846931933650057811e+00 3.051158157452884545e+00 3.260375894208842329e+00 3.473304751236615751e+00 3.689167110473015931e+00 3.906069906372809708e+00
8.809660382753631280e-01 9.742957862896080012e-01 1.075789019169871130e+00 1.185725145955817572e+00 1.304322533008149376e+00 1.431730334578966035e+00 1.568003812032568778e+00 1.713094503625048448e+00 1.866825333621950245e+00 2.028534804463397290e+00 2.198767627700695559e+00 2.376622724702729172e+00 2.561437091956060286e+00 2.752902871676333074e+00 2.949683692670086010e+00 3.150917597466120768e+00 3.355542321607555500e+00 3.562391750999584605e+00 3.770150305879321539e+00 3.977453933765602745e+00 4.182941339250163537e+00
1.001729701344864054e+00 1.105331350823237191e+00 1.217464468304803260e+00 1.338269043218967891e+00 1.467810545895413821e+00 1.606062052089702430e+00 1.753268823943491705e+00 1.908409790882874546e+00 2.071444089862232385e+00 2.241892095567017851e+00 2.419143250527846511e+00 2.602478729186911810e+00 2.791080708301175051e+00 2.983968689384297157e+00 3.180056831652199545e+00 3.378218033591082747e+00 3.577252012744708054e+00 3.775882894150672797e+00 3.972770746128126529e+00 4.166621284443163375e+00 4.356139658152548222e+00
1.108790428714381271e+00 1.220293136206835660e+00 1.340411272717935143e+00 1.468610698122302383e+00 1.605815198463843796e+00 1.751305101764521588e+00 1.904699777670548322e+00 2.065532570766082987e+00 2.233089920020570940e+00 2.407049101560711168e+00 2.586206264432155955e+00 2.769781464431112727e+00 2.956745582167085384e+00 3.145979412204888082e+00 3.336318436810933541e+00 3.526571781651734572e+00 3.715486570730347271e+00 3.901805564524114978e+00 4.084287879914604957e+00 4.261753031638985334e+00 4.433032384413391647e+00
1.202453009072495194e+00 1.318628206926245827e+00 1.443242385452667698e+00 1.576151780395942614e+00 1.717087167495525035e+00 1.865642131366449963e+00 2.021267815271823753e+00 2.183351826352615266e+00 2.351124475497291311e+00 2.523711134008212564e+00 2.700160312960666165e+00 2.879412489866393532e+00 3.060344110747516666e+00 3.241795368388569631e+00 3.422590511707142014e+00 3.601514024987724660e+00 3.777380411005284433e+00 3.949006249896610754e+00 4.115242283297114945e+00 4.274916226398719488e+00 4.426918286218880283e+00
1.282543711222749572e+00 1.400775044646984213e+00 1.526969872363579395e+00 1.660852153475501858e+00 1.802030656305398937e+00 1.949819333078002481e+00 2.104058010979656945e+00 2.263507108326042072e+00 2.427469682219481673e+00 2.594978807089360906e+00 2.764988096117134919e+00 2.936402942942722305e+00 3.108079672425395845e+00 3.278860810595443986e+00 3.447559556198867892e+00 3.612979671953088445e+00 3.773947111068668647e+00 3.929236042937833240e+00 4.077695119644808130e+00 4.218143673447229069e+00 4.349421761946242526e+00
1.347614715608068892e+00 1.465561802532694635e+00 1.590760451247536178e+00 1.722861297015148230e+00 1.861393619753823669e+00 2.005762886763041042e+00 2.155260336480296246e+00 2.309064297621715944e+00 2.466260554549632555e+00 2.625839064757623298e+00 2.786739748685270968e+00 2.947845745764099856e+00 3.107997086499733719e+00 3.266011492501129876e+00 3.420684726628935302e+00 3.570798975377449835e+00 3.715149974506225306e+00 3.852526782473470579e+00 3.981761894232593413e+00 4.101701521333938061e+00 4.211265501677813994e+00
1.396923534728777394e+00 1.512601142716868408e+00 1.634732270032653867e+00 1.762910547344666679e+00 1.896609456617149636e+00 2.035194761288795728e+00 2.177908763147043736e+00 2.323899022883413767e+00 2.472221265297886994e+00 2.621868255996607999e+00 2.771744866970118792e+00 2.920717190621355375e+00 3.067607204671372489e+00 3.211208982601589934e+00 3.350324111385111436e+00 3.483723697426190924e+00 3.610218557183664689e+00 3.728652310729854591e+00 3.837905432578775589e+00 3.936937270561353674e+00 4.024769741629595998e+00
1.430348406738359612e+00 1.542235653599522305e+00 1.659763642369008085e+00 1.782469099201850149e+00 1.909783751854160494e+00 2.041036703527029594e+00 2.175441628804924310e+00 2.312137104862022063e+00 2.450156436288801753e+00 2.588475030093289053e+00 2.725974333041349063e+00 2.861529958196750822e+00 2.993962404078403861e+00 3.122085070902917980e+00 3.244714526341177852e+00 3.360682954672329803e+00 3.468868536663330282e+00 3.568200906915480086e+00 3.657676566681612229e+00 3.736377616038514482e+00 3.803470255260305688e+00
1.448604925238519137e+00 1.555626207392992955e+00 1.667473434445838398e+00 1.783646384804649099e+00 1.903538378164950196e+00 2.026445208343124360e+00 2.151562714733192383e+00 2.278005862997793951e+00 2.404794989934029736e+00 2.530899499405700137e+00 2.655238113456598104e+00 2.776685420748403743e+00 2.894107773807526929e+00 3.006349390443190384e+00 3.112316977099170323e+00 3.210928905530641142e+00 3.301167923653598901e+00 3.382075308759854515e+00 3.452777619168446055e+00 3.512496656550163632e+00 3.560585715902356174e+00
